featureid	Intercept	C(mouse_type, Treatment('control'))[T.vancomycin]	C(mouse_type, Treatment('control'))[T.wound]
GO:0003861	1.8586002603769476	-0.07855979350285658	0.6392383366126317
GO:0003862	1.308110834717768	0.01045274551136366	0.7078849240440626
GO:0003864	0.9209891573190863	-0.08337826837675699	0.6309739663500089
GO:0003865	0.5682588831186468	-2.311940012470652	0.37516588114683813
GO:0003866	0.18309223806859798	1.1539794821582543	1.1923329993385572
GO:0003871	0.3908404127359564	1.215053739055227	1.1907165213722486
GO:0003872	2.5089802757501776	-0.3302402477421058	0.6731764390367765
GO:0003879	-1.4558085187673395	1.3271600622974153	0.5234092190164823
GO:0003883	1.4445487276315863	-0.554691670433451	0.5081750615734357
GO:0003884	-1.523530362486822	0.7281172890506502	-4.478702469239781
GO:0003886	-1.0731829389333551	-2.6402538399853004	1.7327926918167371
GO:0003887	3.677261585056799	-0.12501629252808222	0.5787310987014074
GO:0003896	2.6614524737596685	-1.7719435076870216	0.7210600390333433
GO:0003899	3.5839043689556593	0.16679327379090658	0.7429003580707807
GO:0003905	-2.084171174406988	0.9853810686908471	-3.169187469850133
GO:0003906	-0.8251770719289606	0.05465946535689703	0.060354725946833554
GO:0003908	0.9731985346079046	0.22887620519025198	0.7313662334579725
GO:0003910	-1.3350242360830133	0.6925051231227624	-4.639628334413121
GO:0003911	1.6008890882730658	0.4287190158210503	0.7528782799143094
GO:0003916	0.07708895361425228	0.4979619402728783	1.238628999819209
GO:0003917	2.7850083128214056	-1.3297051768459571	0.7007581307787198
GO:0003918	3.11384532010557	0.37909329126698843	0.816927419533183
GO:0003919	1.272628428101557	-0.043747641582806196	0.6581020518440504
GO:0003920	-2.200854180693609	0.4638179559550988	0.5348666287261743
GO:0003922	2.2380467668771917	-0.33883330036776194	0.605263275583436
GO:0003924	3.921956093668955	-0.08236265738384851	0.7223563506502408
GO:0003933	-0.43220746362207585	1.0021591801486718	1.0830898448128004
GO:0003934	0.508952023148554	-0.46527999450342783	0.4346257834929723
GO:0003935	-2.4943703397512262	-1.7220265250362647	1.532294885744502
GO:0003937	1.976789714455622	-0.8371712546505226	0.4577031820315618
GO:0003938	1.6761511579752142	0.024423869355748806	0.7125943913358945
GO:0003941	1.4887136236429388	0.18339468727929464	0.6923253848451871
GO:0003942	1.3677884355783636	0.05214811305625311	0.6639102562565107
GO:0003949	0.6962388769388372	0.1869249213777291	0.7750419392484922
GO:0003951	1.7106155172586615	-0.5620880108036292	0.5431456319290895
GO:0003952	0.7676988855600531	1.1361704487643944	1.2580906315941114
GO:0003963	-1.1355031713247126	0.744799079402517	-1.3424579337936144
GO:0003964	2.846850039124506	-2.345838366047312	0.8990347548622388
GO:0003968	-2.68880879724024	0.6778902430377709	0.3046803041595716
GO:0003977	-1.1107081159353083	1.3141778130374657	0.391905875434329
GO:0003978	1.1222487703561956	0.11980961452348105	0.7645210637945432
GO:0003979	0.04403603231908626	1.1106755156360375	1.1753422185081739
GO:0003983	-0.9902118428945368	1.2642239947162377	-0.3174609974723559
GO:0003984	-0.4704684003591364	0.9586872477374779	1.2301274701256055
GO:0003985	-5.452628491759283	-0.06214319352882036	-0.9416281417709094
GO:0003987	-1.7148021444082087	0.9648435730777489	-4.311148567567418
GO:0003989	0.3378056303262884	0.5948357601009118	0.8180838092464704
GO:0003991	-0.31168162667749577	1.2962163109622704	1.2650004788536329
GO:0003992	-1.4910553678273981	0.9011062998615014	0.6652551233071584
GO:0003993	2.2287142292261297	-1.5650910716213478	0.3382709338564176
GO:0003994	2.1815065160989935	0.3601923305831658	0.6599544151920576
GO:0003995	-0.10423981988428288	1.2513020653568017	0.35291420065348333
GO:0003998	-3.0755685552358454	0.697366537555288	0.7499145730633039
GO:0003999	0.08144295370580501	-0.7622683029331458	0.41072780035917944
GO:0004013	1.6872417942285711	-0.05290723984951207	0.6214974089760084
GO:0004014	-1.838565705656988	0.9424628634296175	-0.23698256767804438
GO:0004015	0.14380657827855892	1.1866828818164574	1.1811762019294996
GO:0004016	-0.1915091260671442	1.6276733298145043	1.1139288111824293
GO:0004017	0.5875529066324408	0.28274101208073965	0.744423495163371
GO:0004018	-1.0441755040883844	1.1185458321414696	0.693617032398631
GO:0004019	1.5334402338266546	0.15578215013368002	0.6499945088524122
GO:0004020	-2.071454881072027	0.5841965694270836	-1.8138803676467639
GO:0004022	-2.3452361806630915	-0.3785682301677955	0.9835361107486982
GO:0004034	1.2253173605203802	-2.2051389794506324	0.4094749554294843
